alpha,gamma,sigma,activation,error,lambda,logit,rho
10.0,0.2,0.5,erf,error,0.49486216271165245,logit,1.0
6.689189189189189,0.29898989898989903,0.5,erf,error,0.315028215102444,logit,1.0
5.025380710659898,0.397979797979798,0.5,erf,error,0.2289023961977093,logit,1.0
4.024390243902439,0.49696969696969695,0.5,erf,error,0.18054388158050869,logit,1.0
3.35593220338983,0.595959595959596,0.5,erf,error,0.1511632956987034,logit,1.0
2.877906976744186,0.694949494949495,0.5,erf,error,0.13263212791586962,logit,1.0
2.519083969465649,0.793939393939394,0.5,erf,error,0.12082181721976201,logit,1.0
2.2398190045248865,0.8929292929292931,0.5,erf,error,0.11339535113544612,logit,1.0
2.016293279022403,0.991919191919192,0.5,erf,error,0.10892465899008533,logit,1.0
1.833333333333333,1.090909090909091,0.5,erf,error,0.10649506493406091,logit,1.0
1.6808149405772495,1.18989898989899,0.5,erf,error,0.10550165164425696,logit,1.0
1.5517241379310345,1.288888888888889,0.5,erf,error,0.10553522983724933,logit,1.0
1.4410480349344978,1.387878787878788,0.5,erf,error,0.10631379727071498,logit,1.0
1.3451086956521738,1.486868686868687,0.5,erf,error,0.10763929248231507,logit,1.0
1.2611464968152863,1.5858585858585863,0.5,erf,error,0.10937034891084686,logit,1.0
1.1870503597122302,1.6848484848484848,0.5,erf,error,0.1114041929049947,logit,1.0
1.1211778029445072,1.783838383838384,0.5,erf,error,0.1136650496745539,logit,1.0
1.0622317596566522,1.8828282828282832,0.5,erf,error,0.11609616495110966,logit,1.0
1.0091743119266054,1.981818181818182,0.5,erf,error,0.11865444520249901,logit,1.0
0.9611650485436891,2.0808080808080813,0.5,erf,error,0.1213067369449332,logit,1.0
0.9175162187210378,2.1797979797979803,0.5,erf,error,0.12396414123613282,logit,1.0
0.877659574468085,2.2787878787878793,0.5,erf,error,0.12679690620863973,logit,1.0
0.8411214953271027,2.377777777777778,0.5,erf,error,0.12959781076649593,logit,1.0
