alpha,gamma,sigma,activation,loss,lambda,logit,rho
10.0,0.2,0.5,erf,loss,4.032520108805756,logit,1.0
6.689189189189189,0.29898989898989903,0.5,erf,loss,2.769521713633513,logit,1.0
5.025380710659898,0.397979797979798,0.5,erf,loss,2.143561830742072,logit,1.0
4.024390243902439,0.49696969696969695,0.5,erf,loss,1.7733700837521102,logit,1.0
3.35593220338983,0.595959595959596,0.5,erf,loss,1.530940661432904,logit,1.0
2.877906976744186,0.694949494949495,0.5,erf,loss,1.3611812124967675,logit,1.0
2.519083969465649,0.793939393939394,0.5,erf,loss,1.2364819708287826,logit,1.0
2.2398190045248865,0.8929292929292931,0.5,erf,loss,1.1415025863362342,logit,1.0
2.016293279022403,0.991919191919192,0.5,erf,loss,1.0670632684921941,logit,1.0
1.833333333333333,1.090909090909091,0.5,erf,loss,1.0073598449189478,logit,1.0
1.6808149405772495,1.18989898989899,0.5,erf,loss,0.9585562331084209,logit,1.0
1.5517241379310345,1.288888888888889,0.5,erf,loss,0.9180250032051878,logit,1.0
1.4410480349344978,1.387878787878788,0.5,erf,loss,0.8839085603628344,logit,1.0
1.3451086956521738,1.486868686868687,0.5,erf,loss,0.8548576792199934,logit,1.0
1.2611464968152863,1.5858585858585863,0.5,erf,loss,0.8298690533865783,logit,1.0
1.1870503597122302,1.6848484848484848,0.5,erf,loss,0.8081821605867189,logit,1.0
1.1211778029445072,1.783838383838384,0.5,erf,loss,0.7892102241801638,logit,1.0
1.0622317596566522,1.8828282828282832,0.5,erf,loss,0.772493950340956,logit,1.0
1.0091743119266054,1.981818181818182,0.5,erf,loss,0.7576696428415695,logit,1.0
0.9611650485436891,2.0808080808080813,0.5,erf,loss,0.7444455663397825,logit,1.0
0.9175162187210378,2.1797979797979803,0.5,erf,loss,0.7325851050220566,logit,1.0
0.877659574468085,2.2787878787878793,0.5,erf,loss,0.7218955139885023,logit,1.0
0.8411214953271027,2.377777777777778,0.5,erf,loss,0.7122172318973965,logit,1.0
0.8075040783034256,2.476767676767677,0.5,erf,loss,0.7034180699318692,logit,1.0
0.776470588235294,2.575757575757576,0.5,erf,loss,0.6953868819657548,logit,1.0
0.7477341389728096,2.674747474747475,0.5,erf,loss,0.6880309030115057,logit,1.0
0.7210487982520029,2.773737373737374,0.5,erf,loss,0.6812702009449265,logit,1.0
0.6962025316455694,2.8727272727272735,0.5,erf,loss,0.6750379595192608,logit,1.0
0.6730115567641058,2.9717171717171724,0.5,erf,loss,0.6692759016570834,logit,1.0
0.6513157894736841,3.0707070707070714,0.5,erf,loss,0.6639340736152693,logit,1.0
0.6309751434034415,3.1696969696969703,0.5,erf,loss,0.6589693384492085,logit,1.0
0.6118665018541408,3.2686868686868693,0.5,erf,loss,0.6543440800245645,logit,1.0
0.5938812237552489,3.3676767676767683,0.5,erf,loss,0.6500254832247956,logit,1.0
0.5769230769230769,3.466666666666667,0.5,erf,loss,0.6459845940825736,logit,1.0
0.5609065155807365,3.565656565656566,0.5,erf,loss,0.6421961210753289,logit,1.0
0.5457552370452039,3.664646464646465,0.5,erf,loss,0.6386375546441942,logit,1.0
0.5314009661835748,3.763636363636364,0.5,erf,loss,0.6352890015836326,logit,1.0
0.5177824267782426,3.862626262626263,0.5,erf,loss,0.6321326971171474,logit,1.0
0.504844467108618,3.9616161616161625,0.5,erf,loss,0.6291529889415162,logit,1.0
0.49253731343283574,4.060606060606061,0.5,erf,loss,0.6263355638666203,logit,1.0
